CHKEY,CHtxtgrpKEY
7935131,15446440
7935131,15594611
7935132,15150097
7935133,15298269
7935134,15446441
7935187,15150119
7935187,15298291
7935187,15594633
7937215,15151065
7937215,15447408
7937215,15595579
7937216,15299237
7937216,15447409
7937217,15151066
7937217,15595580
7937218,15299238
7937218,15447410
7937219,15595581
7937220,15151067
7937221,15299239
7940428,15300743
7940428,15448915
7940428,15597086
7940429,15152572
7940430,15300744
7940431,15448916
7940431,15597087
7940432,15152573
7940432,15300745
7940433,15448917
7940433,15597088
7940434,15152574
7940434,15300746
7940435,15448918
7940436,15597089
7940437,15152575
7940438,15300747
7940438,15448919
7940438,15597090
7940439,15152576
7940439,15300748
7940440,15152577
7940440,15448920
7940440,15597091
7940441,15300749
7940441,15448921
7940441,15597092
7940611,15152640
7940612,15300812
7940612,15448984
7940613,15597155
7940810,15449053
7940811,15152710
7940811,15300882
7940811,15597224
7941593,15597503
7941594,15152989
7941595,15301161
7944431,15302514
7944432,15450686
7944437,15450688
7944441,15450689
7944441,15598860
7944442,15154346
7944442,15302518
7944442,15450690
7944445,15302519
7944457,15598867
7944458,15154353
7944458,15302525
7944458,15450697
7944459,15598868
7944462,15302527
7944462,15450699
7944464,15154356
7944469,15154358
7944469,15598872
7944470,15302530
7944470,15450702
7944470,15598873
7945788,15599466
7945789,15154952
7945820,15451309
7945821,15154966
7945821,15599480
7945822,15303138
7945822,15451310
7945823,15154967
7945823,15599481
7945824,15303139
7945824,15451311
7945825,15599482
7945826,15154968
7945827,15303140
7945827,15451312
7945828,15154969
7945828,15599483
7945829,15303141
7945830,15451313
7945830,15599484
7945831,15154970
7945831,15303142
7945832,15451314
7945833,15599485
7945834,15154971
7945836,15451315
7945837,15599486
7945838,15154972
7945839,15303144
7945840,15451316
7945841,15154973
7945841,15599487
7945861,15154981
7945861,15451324
7945861,15599495
7945862,15303153
7945863,15451325
7945864,15154982
7945864,15303154
7945864,15599496
7947421,15600185
7947422,15155671
7947566,15303902
7947567,15452074
7948365,15452359
7948366,15600530
7948367,15156016
7948368,15304188
7948500,15156070
7948501,15304242
7948502,15156071
7948502,15452414
7948502,15600585
7948503,15304243
7948503,15452415
7948504,15600586
7948505,15156072
7948506,15304244
7948506,15452416
7948507,15600587
7948508,15156073
7948509,15304245
7948510,15452417
7948510,15600588
7948511,15156074
7948512,15304246
7948512,15452418
7948513,15600589
7948514,15156075
7948515,15304247
7948516,15452419
7948517,15600590
7948518,15156076
7948519,15304248
7948520,15452420
7948521,15600591
7948522,15156077
7948523,15304249
7948524,15452421
7948526,15304250
7948527,15452422
7948528,15600593
7948529,15156079
7948530,15304251
7948531,15452423
7948531,15600594
7948532,15156080
7948537,15600596
7948538,15156082
7948539,15304254
7948540,15452426
7948541,15600597
7948542,15156083
7948543,15304255
7948544,15452427
7948546,15452428
7948547,15600599
7948548,15156085
7948551,15600600
7948552,15156086
7948553,15304258
7948554,15452430
7948555,15600601
7948556,15156087
7948556,15304259
7948556,15452431
7948557,15600602
7948558,15156088
7948561,15304261
7948562,15156090
7948562,15452433
7948562,15600604
7948563,15304262
7948564,15452434
7948565,15156091
7948565,15304263
7948565,15600605
7948566,15156092
7948566,15452435
7948566,15600606
7948567,15304264
7948568,15452436
7948569,15600607
7948570,15156093
7948570,15304265
7948570,15452437
7948571,15156094
7948571,15304266
7948571,15600608
7948572,15156095
7948572,15452438
7948572,15600609
7948573,15304267
7948574,15452439
7948574,15600610
7948575,15156096
7948576,15304268
7948577,15452440
7948578,15600611
7948581,15600612
7948583,15304270
7948583,15452442
7948584,15600613
7948585,15156099
7948586,15304271
7948587,15452443
7948588,15600614
7948589,15156100
7948589,15304272
7948590,15452444
7948591,15600615
7948592,15156101
7948593,15304273
7948593,15452445
7948594,15156102
7948594,15304274
7948594,15600616
7948605,15304278
7948606,15156107
7948606,15452450
7948606,15600621
7948607,15304279
7948607,15452451
7948607,15600622
7948608,15156108
7948609,15304280
7948609,15452452
7948609,15600623
7948610,15156109
7948610,15304281
7948611,15452453
7948612,15156110
7948612,15304282
7948612,15600624
7948616,15452455
7948616,15600626
7948617,15156112
7948617,15304284
7948618,15452456
7948619,15156113
7948619,15304285
7948619,15600627
7948621,15600628
7948622,15156114
7948622,15304286
7948624,15156115
7948625,15304287
7948625,15452459
7948625,15600630
7948626,15156116
7948627,15304288
7948628,15452460
7948629,15600631
7948630,15156117
7948631,15304289
7948632,15452461
7948633,15156118
7948633,15304290
7948633,15600632
7948634,15452462
7948635,15600633
7948636,15156119
7948642,15452465
7948643,15600636
7948644,15156122
7948645,15304294
7948646,15452466
7948646,15600637
7948647,15156123
7948650,15156124
7948650,15600638
7948653,15156125
7948654,15304297
7948655,15452469
7948656,15600640
7948657,15156126
7948658,15304298
7948660,15600641
7948661,15156127
7948662,15304299
7948663,15452471
7948664,15600642
7948665,15156128
7948666,15304300
7948667,15156129
7948667,15452472
7948667,15600643
7948668,15304301
7948669,15156130
7948669,15452473
7948669,15600644
7948670,15304302
7948670,15452474
7948671,15156131
7948671,15304303
7948671,15600645
7948672,15452475
7948681,15156137
7948681,15452480
7948681,15600651
7948682,15304309
7948683,15452481
7948684,15600652
7948687,15600653
7948689,15304311
7948689,15452483
7948689,15600654
7948690,15156140
7948690,15304312
7948700,15156145
7948701,15304317
7948702,15452489
7948703,15600660
7948704,15156146
7948705,15304318
7948706,15452490
7948707,15600661
7948708,15156147
7948709,15304319
7948709,15452491
7948725,15600669
7948726,15156155
7948726,15304327
7948727,15156156
7948727,15452499
7948727,15600670
7948728,15304328
7948728,15452500
7948728,15600671
7948729,15156157
7948729,15304329
7948730,15452501
7948731,15600672
7948732,15156158
7948732,15304330
7948732,15452502
7948733,15156159
7948733,15304331
7948733,15600673
7948734,15452503
7948735,15600674
7948736,15156160
7948737,15304332
7948738,15452504
7948738,15600675
7948739,15156161
7948740,15304333
7948740,15452505
7948740,15600676
7948741,15156162
7948742,15304334
7948743,15452506
7948744,15600677
7948745,15156163
7948745,15304335
7948746,15156164
7948746,15452507
7948746,15600678
7948747,15304336
7948748,15156165
7948748,15452508
7948748,15600679
7948749,15304337
7948750,15452509
7948751,15156166
7948751,15600680
7948752,15304338
7948752,15452510
7948752,15600681
7948753,15156167
7948753,15304339
7948753,15452511
7948754,15156168
7948754,15600682
7948755,15304340
7948755,15452512
7948755,15600683
7948757,15600684
7948758,15156170
7948758,15304342
7948758,15452514
7948759,15156171
7948759,15304343
7948759,15600685
7948760,15452515
7948760,15600686
7948761,15156172
7948761,15304344
7948762,15452516
7948763,15600687
7948764,15156173
7948764,15304345
7948765,15452517
7948766,15156174
7948766,15600688
7948767,15304346
7948768,15452518
7948769,15156175
7948769,15304347
7948769,15600689
7948770,15156176
7948770,15452519
7948770,15600690
7948771,15304348
7948772,15452520
7948773,15600691
7948774,15156177
7948775,15304349
7948776,15452521
7948776,15600692
7948777,15156178
7948778,15304350
7948781,15600694
7948782,15156180
7948783,15304352
7948784,15452524
7948785,15600695
7948786,15156181
7948786,15304353
7948786,15452525
7948787,15156182
7948787,15304354
7948787,15600696
7948788,15156183
7948788,15452526
7948788,15600697
7948789,15304355
7948789,15452527
7948789,15600698
7948790,15156184
7948790,15304356
7948790,15452528
7948814,15452537
7948815,15156194
7948815,15600708
7948816,15304366
7948817,15452538
7948817,15600709
7948818,15156195
7948818,15304367
7948819,15452539
7948819,15600710
7948820,15156196
7948821,15304368
7948822,15156197
7948822,15452540
7948822,15600711
7948823,15304369
7948824,15452541
7948825,15600712
7948826,15156198
7948827,15304370
7948828,15452542
7948829,15156199
7948829,15600713
7948830,15304371
7948831,15452543
7948832,15600714
7948833,15156200
7948834,15304372
7948835,15452544
7948836,15156201
7948836,15304373
7948836,15600715
7948837,15452545
7948837,15600716
7948838,15156202
7948839,15304374
7948839,15452546
7948840,15600717
7948841,15156203
7948842,15304375
7948842,15452547
7948843,15156204
7948843,15304376
7948843,15600718
7948844,15452548
7948845,15156205
7948845,15304377
7948845,15600719
7948846,15156206
7948846,15452549
7948846,15600720
7948847,15304378
7948847,15452550
7948848,15156207
7948848,15600721
7948849,15304379
7948850,15156208
7948850,15452551
7948850,15600722
7948851,15304380
7948851,15452552
7948851,15600723
7948852,15156209
7948853,15304381
7948854,15452553
7948855,15600724
7948856,15156210
7948856,15304382
7948856,15452554
7948857,15156211
7948857,15600725
7948858,15304383
7948858,15452555
7948858,15600726
7948859,15156212
7948859,15304384
7948859,15452556
7948860,15156213
7948860,15304385
7948860,15600727
7948861,15452557
7948862,15156214
7948862,15304386
7948862,15600728
7948863,15452558
7948864,15600729
7948865,15156215
7948865,15304387
7948865,15452559
7948866,15600730
7948867,15156216
7948867,15304388
7948867,15452560
7948868,15156217
7948868,15600731
7948869,15304389
7948870,15452561
7948871,15156218
7948871,15304390
7948871,15600732
7948872,15452562
7948873,15156219
7948873,15304391
7948873,15600733
7948874,15156220
7948874,15452563
7948874,15600734
7948875,15304392
7948876,15452564
7948877,15600735
7948878,15156221
7948879,15304393
7948879,15452565
7948879,15600736
7948880,15156222
7948880,15304394
7948880,15452566
7948881,15156223
7948881,15304395
7948881,15600737
7948882,15452567
7948882,15600738
7948883,15156224
7948884,15304396
7948884,15452568
7948884,15600739
7948885,15156225
7948886,15304397
7948886,15452569
7948886,15600740
7948887,15156226
7948887,15304398
7948888,15156227
7948888,15452570
7948888,15600741
7948889,15304399
7948890,15452571
7948891,15600742
7948892,15156228
7948892,15304400
7948892,15452572
7948893,15600743
7948894,15156229
7948895,15304401
7948896,15452573
7948896,15600744
7948897,15156230
7948897,15304402
7948897,15452574
7948898,15600745
7948899,15156231
7948899,15304403
7948899,15452575
7948900,15600746
7948901,15156232
7948901,15304404
7948901,15452576
7948902,15156233
7948902,15600747
7948903,15304405
7948904,15452577
7948904,15600748
7948905,15156234
7948906,15304406
7948906,15452578
7948906,15600749
7948907,15156235
7948908,15304407
7948908,15452579
7948909,15600750
7948910,15156236
7948911,15304408
7948912,15156237
7948912,15452580
7948912,15600751
7948913,15304409
7948914,15452581
7948914,15600752
7948915,15156238
7948915,15304410
7948915,15452582
7948916,15600753
7948917,15156239
7948917,15304411
7948918,15452583
7948918,15600754
7948919,15156240
7948920,15304412
7948920,15452584
7948921,15600755
7948922,15156241
7948923,15304413
7948923,15452585
7948923,15600756
7948924,15156242
7948925,15304414
7948925,15452586
7948925,15600757
7948926,15156243
7948927,15304415
7948927,15452587
7948928,15600758
7948929,15156244
7948930,15304416
7948930,15452588
7948931,15600759
7948932,15156245
7948932,15304417
7948932,15452589
7948933,15600760
7948934,15156246
7948934,15304418
7948935,15452590
7948936,15600761
7948937,15156247
7948938,15304419
7948939,15452591
7948940,15156248
7948940,15600762
7948941,15304420
7948941,15452592
7948942,15600763
7948943,15156249
7948943,15304421
7948943,15452593
7948944,15600764
7948945,15156250
7948946,15304422
7948947,15452594
7948948,15156251
7948948,15304423
7948948,15600765
7948949,15452595
7948950,15600766
7948951,15156252
7948952,15304424
7948952,15452596
7948952,15600767
7948953,15156253
7948953,15304425
7948954,15156254
7948954,15452597
7948954,15600768
7948955,15304426
7948955,15452598
7948955,15600769
7948956,15156255
7948957,15304427
7948957,15452599
7948958,15156256
7948958,15600770
7948959,15304428
7948960,15452600
7948961,15600771
7948962,15156257
7948963,15304429
7948963,15452601
7948963,15600772
7948964,15156258
7948965,15304430
7948966,15156259
7948966,15452602
7948966,15600773
7948967,15304431
7948967,15452603
7948968,15600774
7948969,15156260
7948969,15304432
7948969,15452604
7948970,15600775
7948971,15156261
7948972,15304433
7948972,15452605
7948972,15600776
7948973,15156262
7948974,15304434
7948975,15452606
7948976,15156263
7948976,15304435
7948976,15600777
7948977,15452607
7948977,15600778
7948978,15156264
7948978,15304436
7948979,15156265
7948979,15452608
7948979,15600779
7948980,15304437
7948980,15452609
7948981,15156266
7948981,15600780
7948982,15304438
7948982,15452610
7948982,15600781
7948983,15156267
7948983,15304439
7948984,15452611
7948985,15156268
7948985,15600782
7948986,15304440
7948987,15452612
7948988,15600783
7948989,15156269
7948990,15304441
7948991,15452613
7948991,15600784
7948992,15156270
7948992,15304442
7948993,15452614
7948993,15600785
7948994,15156271
7948995,15304443
7948996,15452615
7948997,15600786
7948998,15156272
7948998,15304444
7948998,15452616
7948999,15156273
7948999,15304445
7948999,15600787
7949000,15156274
7949000,15452617
7949000,15600788
7949001,15304446
7949001,15452618
7949001,15600789
7949002,15156275
7949002,15304447
7949003,15452619
7949003,15600790
7949004,15156276
7949004,15304448
7949004,15452620
7949005,15600791
7949006,15156277
7949006,15304449
7949006,15452621
7949007,15156278
7949007,15600792
7949008,15304450
7949009,15156279
7949009,15452622
7949009,15600793
7949010,15304451
7949010,15452623
7949010,15600794
7949011,15156280
7949012,15304452
7949013,15452624
7949014,15600795
7949015,15156281
7949016,15304453
7949017,15452625
7949018,15156282
7949018,15304454
7949018,15600796
7949019,15156283
7949019,15452626
7949019,15600797
7949020,15304455
7949020,15452627
7949020,15600798
7949021,15156284
7949021,15304456
7949021,15452628
7949022,15156285
7949022,15304457
7949022,15600799
7949023,15156286
7949023,15452629
7949023,15600800
7949024,15304458
7949025,15452630
7949026,15600801
7949027,15156287
7949028,15304459
7949028,15452631
7949028,15600802
7949029,15156288
7949030,15304460
7949031,15156289
7949031,15452632
7949031,15600803
7949032,15156290
7949032,15156291
7949032,15304461
7949032,15304462
7949032,15452633
7949032,15452634
7949032,15600804
7949032,15600805
7949033,15304463
7949034,15452635
7949035,15156292
7949035,15304464
7949035,15600806
7949036,15156293
7949036,15452636
7949036,15600807
7949037,15304465
7949038,15452637
7949039,15600808
7949040,15156294
7949041,15304466
7949042,15452638
7949043,15600809
7949044,15156295
7949045,15304467
7949045,15452639
7949045,15600810
7949046,15156296
7949046,15304468
7949046,15452640
7949047,15156297
7949047,15304469
7949047,15600811
7949048,15156298
7949048,15452641
7949048,15600812
7949049,15304470
7949049,15452642
7949049,15600813
7949050,15156299
7949051,15304471
7949052,15156300
7949052,15452643
7949052,15600814
7949053,15304472
7949053,15452644
7949053,15600815
7949054,15156301
7949054,15304473
7949054,15452645
7949055,15156302
7949055,15304474
7949055,15452646
7949055,15600816
7949056,15156303
7949056,15156304
7949056,15156305
7949056,15304475
7949056,15304476
7949056,15452647
7949056,15452648
7949056,15600817
7949056,15600818
7949056,15600819
7949057,15304477
7949057,15452649
7949057,15600820
7949058,15156306
7949058,15304478
7949058,15452650
7949059,15600821
7949060,15156307
7949061,15304479
7949061,15452651
7949061,15600822
7949062,15156308
7949063,15304480
7949064,15156309
7949064,15452652
7949064,15600823
7949065,15304481
7949065,15452653
7949065,15600824
7949066,15156310
7949066,15304482
7949066,15452654
7949067,15600825
7949068,15156311
7949068,15304483
7949069,15452655
7949069,15600826
7949070,15156312
7949070,15304484
7949071,15452656
7949072,15600827
7949073,15156313
7949074,15304485
7949074,15452657
7949075,15600828
7949076,15156314
7949076,15304486
7949076,15452658
7949077,15156315
7949077,15600829
7949078,15304487
7949079,15452659
7949080,15600830
7949081,15156316
7949082,15304488
7949082,15452660
7949082,15600831
7949083,15156317
7949083,15304489
7949083,15452661
7949085,15304490
7949094,15156322
7949095,15304494
7949096,15452666
7949096,15600837
7949099,15600838
7949100,15156324
7949101,15304496
7949102,15452668
7949103,15600839
7949104,15156325
7949104,15304497
7949104,15452669
7949105,15600840
7949106,15156326
7949107,15304498
7949107,15452670
7949108,15600841
7949109,15156327
7949110,15304499
7949111,15452671
7949111,15600842
7949112,15156328
7949112,15304500
7949113,15452672
7949114,15600843
7949115,15156329
7949115,15304501
7949116,15156330
7949116,15452673
7949116,15600844
7949117,15304502
7949117,15452674
7949118,15600845
7949121,15600846
7949122,15156332
7949123,15304504
7949124,15156333
7949124,15452676
7949124,15600847
7949125,15304505
7949126,15452677
7949127,15600848
7949128,15156334
7949129,15304506
7949130,15452678
7949131,15600849
7949132,15156335
7949133,15304507
7949133,15452679
7949134,15156336
7949134,15304508
7949134,15600850
7949136,15600851
7949137,15156337
7949139,15452681
7949139,15600852
7949140,15156338
7949140,15304510
7949141,15452682
7949143,15156339
7949143,15304511
7949143,15452683
7949148,15156341
7949149,15304513
7949150,15452685
7949151,15600856
7949152,15156342
7949157,15304516
7949157,15452688
7949159,15304517
7949159,15452689
7949160,15600860
7949161,15156346
7949161,15304518
7949162,15156347
7949162,15452690
7949162,15600861
7949163,15304519
7949164,15452691
7949165,15600862
7949166,15156348
7949166,15304520
7949166,15452692
7949167,15600863
7949168,15156349
7949169,15304521
7949169,15452693
7949169,15600864
7949170,15156350
7949171,15304522
7949172,15452694
7949172,15600865
7949173,15156351
7949174,15304523
7949174,15452695
7949175,15156352
7949175,15600866
7949176,15304524
7949176,15452696
7949177,15156353
7949177,15304525
7949177,15600867
7949178,15452697
7949178,15600868
7949180,15304526
7949181,15452698
7949184,15452699
7949185,15600870
7949188,15452700
7949188,15600871
7949189,15156357
7949192,15600872
7949193,15156358
7949194,15304530
7949195,15452702
7949196,15156359
7949196,15600873
7949197,15304531
7949198,15452703
7949199,15156360
7949199,15600874
7949200,15304532
7949201,15452704
7949202,15156361
7949202,15304533
7949202,15600875
7949203,15452705
7949204,15600876
7949205,15156362
7949206,15304534
7949206,15452706
7949207,15600877
7949208,15156363
7949209,15304535
7949209,15452707
7949209,15600878
7949210,15156364
7949211,15304536
7949212,15452708
7949213,15600879
7949214,15156365
7949215,15304537
7949215,15452709
7949216,15156366
7949216,15304538
7949216,15600880
7949217,15452710
7949218,15600881
7949219,15156367
7949219,15304539
7949219,15452711
7949220,15600882
7949221,15156368
7949221,15304540
7949221,15452712
7949222,15156369
7949222,15304541
7949222,15600883
7949223,15452713
7949224,15600884
7949225,15156370
7949226,15304542
7949227,15452714
7949228,15156371
7949228,15304543
7949228,15600885
7949229,15452715
7949229,15600886
7949230,15156372
7949230,15304544
7949231,15452716
7949231,15600887
7949232,15156373
7949233,15304545
7949233,15452717
7949234,15156374
7949234,15600888
7949235,15304546
7949236,15156375
7949236,15452718
7949236,15600889
7949237,15304547
7949238,15156376
7949238,15452719
7949238,15600890
7949239,15304548
7949240,15452720
7949241,15600891
7949242,15156377
7949243,15304549
7949244,15452721
7949245,15600892
7949246,15156378
7949247,15304550
7949248,15452722
7949249,15600893
7949250,15156379
7949250,15304551
7949251,15452723
7949252,15600894
7949253,15156380
7949254,15304552
7949255,15452724
7949256,15600895
7949257,15156381
7949258,15304553
7949259,15452725
7949260,15156382
7949260,15304554
7949260,15600896
7949261,15156383
7949261,15452726
7949261,15600897
7949262,15304555
7949263,15156384
7949263,15452727
7949263,15600898
7949264,15304556
7949265,15452728
7949265,15600899
7949266,15156385
7949267,15304557
7949268,15452729
7949268,15600900
7949269,15156386
7949269,15304558
7949269,15452730
7949270,15156387
7949270,15304559
7949270,15600901
7949271,15452731
7949272,15156388
7949272,15600902
7949273,15304560
7949274,15452732
7949275,15156389
7949275,15600903
7949276,15304561
7949277,15452733
7949278,15156390
7949278,15600904
7949279,15304562
7949280,15452734
7949281,15600905
7949282,15156391
7949283,15304563
7949284,15452735
7949285,15156392
7949285,15600906
7949286,15304564
7949287,15452736
7949288,15600907
7949289,15156393
7949290,15304565
7949291,15452737
7949292,15600908
7949293,15156394
7949294,15304566
7949295,15452738
7949296,15600909
7949297,15156395
7949298,15304567
7949299,15452739
7949300,15156396
7949300,15304568
7949300,15600910
7949301,15452740
7949301,15600911
7949303,15156398
7949303,15600912
7949305,15156399
7949305,15452742
7949305,15600913
7949306,15304571
7949307,15156400
7949307,15452743
7949307,15600914
7949308,15304572
7949308,15452744
7949308,15600915
7949309,15156401
7949309,15304573
7949310,15452745
7949310,15600916
7949311,15156402
7949312,15304574
7949313,15452746
7949314,15156403
7949314,15304575
7949314,15600917
7949315,15452747
7949316,15600918
7949317,15156404
7949317,15304576
7949318,15452748
7949319,15600919
7949320,15156405
7949321,15304577
7949322,15452749
7949322,15600920
7949323,15156406
7949324,15304578
7949324,15452750
7949325,15600921
7949326,15156407
7949327,15304579
7949328,15452751
7949328,15600922
7949329,15156408
7949329,15304580
7949329,15452752
7949330,15600923
7949331,15156409
7949332,15304581
7949332,15452753
7949332,15600924
7949333,15156410
7949334,15304582
7949334,15452754
7949335,15156411
7949335,15304583
7949335,15600925
7949336,15156412
7949336,15452755
7949336,15600926
7949337,15304584
7949337,15452756
7949337,15600927
7949338,15156413
7949338,15304585
7949338,15452757
7949339,15156414
7949339,15304586
7949339,15600928
7949340,15452758
7949340,15600929
7949341,15156415
7949341,15304587
7949342,15156416
7949342,15452759
7949342,15600930
7949343,15304588
7949344,15452760
7949345,15156417
7949345,15304589
7949345,15600931
7949346,15156418
7949346,15452761
7949346,15600932
7949347,15304590
7949347,15452762
7949347,15600933
7949348,15156419
7949348,15304591
7949349,15156420
7949349,15452763
7949349,15600934
7949350,15304592
7949351,15452764
7949352,15156421
7949352,15600935
7949353,15304593
7949353,15452765
7949353,15600936
7949354,15156422
7949356,15156423
7949356,15304595
7949356,15600937
7949357,15156424
7949357,15452767
7949357,15600938
7949358,15304596
7949358,15452768
7949358,15600939
7949359,15156425
7949359,15304597
7949359,15452769
7949360,15156426
7949360,15304598
7949360,15600940
7949361,15452770
7949362,15600941
7949363,15156427
7949364,15600942
7949364,15304599
7949364,15452771
7949365,15156428
7949366,15304600
7949366,15452772
7949366,15600943
7949367,15156429
7949367,15304601
7949367,15452773
7949368,15156430
7949368,15600944
7949369,15304602
7949370,15452774
7949371,15600945
7949372,15156431
7949373,15304603
7949374,15452775
7949375,15156432
7949375,15304604
7949375,15600946
7949376,15452776
7949376,15600947
7949377,15156433
7949377,15304605
7949377,15452777
7949378,15156434
7949378,15304606
7949378,15600948
7949379,15452778
7949380,15600949
7949381,15156435
7949382,15304607
7949383,15156436
7949383,15452779
7949383,15600950
7949384,15304608
7949384,15452780
7949384,15600951
7949385,15156437
7949385,15304609
7949385,15452781
7949386,15156438
7949386,15304610
7949386,15600952
7949387,15156439
7949387,15452782
7949387,15600953
7949388,15304611
7949389,15452783
7949390,15156440
