"Pasture"|"AUM"|||||8||||"10313006"|"22478845"
"Wheat"|"Bu"|||||80||||"10313006"|"22478846"
"Barley"|"Bu"||30|||||||"10313030"|"22478847"
"Winter wheat"|"Bu"||22|||||||"10313030"|"22478848"
"Alfalfa hay"|"Tons"|||||5.5||||"10313058"|"22478849"
"Wheat"|"Bu"||22|||90||||"10313058"|"22478850"
"Barley"|"Bu"|||||90||||"10313058"|"22478851"
"Corn silage"|"Tons"|||||25||||"10313058"|"22478852"
"Tomatoes"|"Tons"|||||25||||"10313058"|"22478853"
"Sugar beets"|"Tons"|||||22||||"10313058"|"22478854"
"Barley"|"Bu"||33|||||||"10313062"|"22478855"
"Wheat"|"Bu"||22|||||||"10313062"|"22478856"
"Alfalfa hay"|"Tons"|||||5||||"10313066"|"22478857"
"Barley"|"Bu"|||||90||||"10313066"|"22478858"
"Corn silage"|"Tons"|||||19||||"10313066"|"22478859"
"Sugar beets"|"Tons"|||||21||||"10313066"|"22478860"
"Wheat"|"Bu"|||||75||||"10313066"|"22478861"
"Alfalfa hay"|"Tons"|||||5||||"10313069"|"22478862"
"Barley"|"Bu"|||||90||||"10313069"|"22478863"
"Corn silage"|"Tons"|||||19||||"10313069"|"22478864"
"Sugar beets"|"Tons"|||||21||||"10313069"|"22478865"
"Wheat"|"Bu"|||||75||||"10313069"|"22478866"
"Alfalfa hay"|"Tons"|||||5||||"10313071"|"22478867"
"Barley"|"Bu"|||||90||||"10313071"|"22478868"
"Corn silage"|"Tons"|||||19||||"10313071"|"22478869"
"Sugar beets"|"Tons"|||||21||||"10313071"|"22478870"
"Wheat"|"Bu"|||||75||||"10313071"|"22478871"
"Wheat"|"Bu"|||||72||||"10313072"|"22478872"
"Canning peas"|"Tons"|||||2.3||||"10313072"|"22478873"
"Barley"|"Bu"|||||83||||"10313072"|"22478874"
"Alfalfa hay"|"Tons"|||||5.4||||"10313072"|"22478875"
"Alfalfa hay"|"Tons"|||||6||||"10313077"|"22478876"
"Barley"|"Bu"|||||95||||"10313077"|"22478877"
"Corn silage"|"Tons"|||||25||||"10313077"|"22478878"
"Canning peas"|"Tons"|||||2.7||||"10313077"|"22478879"
"Sugar beets"|"Tons"|||||23||||"10313077"|"22478880"
"Tomatoes"|"Tons"|||||25||||"10313077"|"22478881"
"Wheat"|"Bu"|||||80||||"10313077"|"22478882"
"Alfalfa hay"|"Tons"|||||6||||"10313078"|"22478883"
"Barley"|"Bu"||30|||95||||"10313078"|"22478884"
"Corn silage"|"Tons"|||||25||||"10313078"|"22478885"
"Canning peas"|"Tons"|||||2.7||||"10313078"|"22478886"
"Sugar beets"|"Tons"|||||23||||"10313078"|"22478887"
"Tomatoes"|"Tons"|||||25||||"10313078"|"22478888"
"Wheat"|"Bu"||20|||80||||"10313078"|"22478889"
"Alfalfa hay"|"Tons"|||||5.4||||"10313080"|"22478890"
"Barley"|"Bu"||30|||85||||"10313080"|"22478891"
"Canning peas"|"Tons"|||||2.4||||"10313080"|"22478892"
"Wheat"|"Bu"||20|||70||||"10313080"|"22478893"
"Alfalfa hay"|"Tons"|||||5||||"10313086"|"22478894"
"Barley"|"Bu"|||||95||||"10313086"|"22478895"
"Corn silage"|"Tons"|||||20||||"10313086"|"22478896"
"Sugar beets"|"Tons"|||||21||||"10313086"|"22478897"
"Wheat"|"Bu"|||||75||||"10313086"|"22478898"
"Wheat"|"Bu"||25|||90||||"10313097"|"22478899"
"Alfalfa hay"|"Tons"|||||6.5||||"10313097"|"22478900"
"Barley"|"Bu"|||||105||||"10313097"|"22478901"
"Corn silage"|"Tons"|||||30||||"10313097"|"22478902"
"Sugar beets"|"Tons"|||||25||||"10313097"|"22478903"
"Tomatoes"|"Tons"|||||27||||"10313097"|"22478904"
"Canning peas"|"Tons"|||||3||||"10313097"|"22478905"
"Alfalfa hay"|"Tons"|||||5.9||||"10313099"|"22478906"
"Barley"|"Bu"|||||95||||"10313099"|"22478907"
"Wheat"|"Bu"||25|||81||||"10313099"|"22478908"
"Canning peas"|"Tons"|||||2.7||||"10313099"|"22478909"
"Tomatoes"|"Tons"|||||27||||"10313102"|"22478910"
"Canning peas"|"Tons"|||||3||||"10313102"|"22478911"
"Alfalfa hay"|"Tons"|||||6.5||||"10313102"|"22478912"
"Barley"|"Bu"|||||100||||"10313102"|"22478913"
"Corn silage"|"Tons"|||||30||||"10313102"|"22478914"
"Sugar beets"|"Tons"|||||25||||"10313102"|"22478915"
"Wheat"|"Bu"|||||90||||"10313102"|"22478916"
"Canning peas"|"Tons"|||||2.8||||"10313105"|"22478917"
"Tomatoes"|"Tons"|||||25||||"10313105"|"22478918"
"Alfalfa hay"|"Tons"|||||6.5||||"10313105"|"22478919"
"Barley"|"Bu"|||||100||||"10313105"|"22478920"
"Corn silage"|"Tons"|||||28||||"10313105"|"22478921"
"Sugar beets"|"Tons"|||||23||||"10313105"|"22478922"
"Wheat"|"Bu"|||||85||||"10313105"|"22478923"
"Canning peas"|"Tons"|||||2.7||||"10313107"|"22478924"
"Alfalfa hay"|"Tons"|||||4.9||||"10313107"|"22478925"
"Barley"|"Bu"|||||90||||"10313107"|"22478926"
"Spring wheat"|"Bu"|||||80||||"10313107"|"22478927"
"Alfalfa hay"|"Tons"|||||6.5||||"10313108"|"22478928"
"Barley"|"Bu"|||||100||||"10313108"|"22478929"
"Corn silage"|"Tons"|||||30||||"10313108"|"22478930"
"Canning peas"|"Tons"|||||3||||"10313108"|"22478931"
"Sugar beets"|"Tons"|||||25||||"10313108"|"22478932"
"Tomatoes"|"Tons"|||||27||||"10313108"|"22478933"
"Wheat"|"Bu"|||||90||||"10313108"|"22478934"
"Alfalfa hay"|"Tons"|||||6.3||||"10313111"|"22478935"
"Barley"|"Bu"|||||95||||"10313111"|"22478936"
"Corn silage"|"Tons"|||||28||||"10313111"|"22478937"
"Canning peas"|"Tons"|||||2.8||||"10313111"|"22478938"
"Sugar beets"|"Tons"|||||23||||"10313111"|"22478939"
"Tomatoes"|"Tons"|||||25||||"10313111"|"22478940"
"Wheat"|"Bu"|||||85||||"10313111"|"22478941"
"Alfalfa hay"|"Tons"|||||4.5||||"10313114"|"22478942"
"Barley"|"Bu"|||||70||||"10313114"|"22478943"
"Alfalfa hay"|"Tons"|||||4.5||||"10313116"|"22478944"
"Barley"|"Bu"|||||70||||"10313116"|"22478945"
"Alfalfa hay"|"Tons"|||||4||||"10313118"|"22478946"
"Barley"|"Bu"|||||60||||"10313118"|"22478947"
"Alfalfa hay"|"Tons"|||||4.5||||"10313119"|"22478948"
"Barley"|"Bu"|||||70||||"10313119"|"22478949"
"Canning peas"|"Tons"|||||2.3||||"10313125"|"22478950"
"Sugar beets"|"Tons"|||||19||||"10313125"|"22478951"
"Alfalfa hay"|"Tons"|||||5||||"10313125"|"22478952"
"Barley"|"Bu"|||||78||||"10313125"|"22478953"
"Corn silage"|"Tons"|||||19||||"10313125"|"22478954"
"Tomatoes"|"Tons"|||||21||||"10313125"|"22478955"
"Wheat"|"Bu"|||||67||||"10313125"|"22478956"
"Canning peas"|"Tons"|||||2||||"10313129"|"22478957"
"Tomatoes"|"Tons"|||||||||"10313129"|"22478958"
"Alfalfa hay"|"Tons"|||||4.2||||"10313129"|"22478959"
"Barley"|"Bu"|||||66||||"10313129"|"22478960"
"Corn silage"|"Tons"|||||16||||"10313129"|"22478961"
"Tomatoes"|"Tons"|||||18||||"10313129"|"22478962"
"Wheat"|"Bu"|||||57||||"10313129"|"22478963"
"Canning peas"|"Tons"|||||2.2||||"10313132"|"22478964"
"Alfalfa hay"|"Tons"|||||4.8||||"10313132"|"22478965"
"Barley"|"Bu"||30|||75||||"10313132"|"22478966"
"Corn silage"|"Tons"|||||18||||"10313132"|"22478967"
"Tomatoes"|"Tons"|||||20||||"10313132"|"22478968"
"Wheat"|"Bu"||19|||65||||"10313132"|"22478969"
"Alfalfa hay"|"Tons"|||||3.5||||"10313140"|"22478970"
"Barley"|"Bu"|||||80||||"10313140"|"22478971"
"Corn silage"|"Tons"|||||15||||"10313140"|"22478972"
"Sugar beets"|"Tons"|||||18||||"10313140"|"22478973"
"Wheat"|"Bu"|||||70||||"10313140"|"22478974"
"Alfalfa hay"|"Tons"|||||3.5||||"10313145"|"22478975"
"Barley"|"Bu"|||||80||||"10313145"|"22478976"
"Corn silage"|"Tons"|||||15||||"10313145"|"22478977"
"Sugar beets"|"Tons"|||||18||||"10313145"|"22478978"
"Wheat"|"Bu"|||||70||||"10313145"|"22478979"
"Canning peas"|"Tons"|||||3||||"10313174"|"22478980"
"Alfalfa hay"|"Tons"|||||6.5||||"10313174"|"22478981"
"Barley"|"Bu"|||||105||||"10313174"|"22478982"
"Corn silage"|"Tons"|||||24||||"10313174"|"22478983"
"Sugar beets"|"Tons"|||||20||||"10313174"|"22478984"
"Tomatoes"|"Tons"|||||21||||"10313174"|"22478985"
"Wheat"|"Bu"|||||90||||"10313174"|"22478986"
"Canning peas"|"Tons"|||||3||||"10313176"|"22478987"
"Alfalfa hay"|"Tons"|||||6.5||||"10313176"|"22478988"
"Barley"|"Bu"||40|||105||||"10313176"|"22478989"
"Corn silage"|"Tons"|||||30||||"10313176"|"22478990"
"Sugar beets"|"Tons"|||||25||||"10313176"|"22478991"
"Tomatoes"|"Tons"|||||27||||"10313176"|"22478992"
"Wheat"|"Bu"||30|||90||||"10313176"|"22478993"
"Canning peas"|"Tons"|||||2.7||||"10313179"|"22478994"
"Alfalfa hay"|"Tons"|||||5.9||||"10313179"|"22478995"
"Barley"|"Bu"||40|||95||||"10313179"|"22478996"
"Wheat"|"Bu"||30|||81||||"10313179"|"22478997"
"Canning peas"|"Tons"|||||2.2||||"10313182"|"22478998"
"Alfalfa hay"|"Tons"|||||4||||"10313182"|"22478999"
"Barley"|"Bu"|||||75||||"10313182"|"22479000"
"Corn silage"|"Tons"|||||17||||"10313182"|"22479001"
"Tomatoes"|"Tons"|||||20||||"10313182"|"22479002"
"Wheat"|"Bu"|||||60||||"10313182"|"22479003"
"Alfalfa hay"|"Tons"|||||4.5||||"10313189"|"22479004"
"Barley"|"Bu"|||||70||||"10313189"|"22479005"
"Wheat"|"Bu"|||||65||||"10313189"|"22479006"
"Alfalfa hay"|"Tons"|||||5||||"10313190"|"22479007"
"Barley"|"Bu"||35|||75||||"10313190"|"22479008"
"Sugar beets"|"Tons"|||||18||||"10313190"|"22479009"
"Tomatoes"|"Tons"|||||20||||"10313190"|"22479010"
"Wheat"|"Bu"||28|||70||||"10313190"|"22479011"
"Alfalfa hay"|"Tons"|||||4.3||||"10313192"|"22479012"
"Barley"|"Bu"||27|||66||||"10313192"|"22479013"
"Wheat"|"Bu"||17|||62||||"10313192"|"22479014"
"Alfalfa hay"|"Tons"|||||5||||"10313193"|"22479015"
"Barley"|"Bu"||35|||75||||"10313193"|"22479016"
"Tomatoes"|"Tons"|||||20||||"10313193"|"22479017"
"Wheat"|"Bu"||28|||70||||"10313193"|"22479018"
"Alfalfa hay"|"Tons"|||||4.5||||"10313195"|"22479019"
"Barley"|"Bu"|||||60||||"10313195"|"22479020"
"Wheat"|"Bu"|||||50||||"10313195"|"22479021"
"Sugar beets"|"Tons"|||||18||||"10313198"|"22479022"
"Alfalfa hay"|"Tons"|||||5||||"10313198"|"22479023"
"Barley"|"Bu"|||||75||||"10313198"|"22479024"
"Corn silage"|"Tons"|||||17||||"10313198"|"22479025"
"Wheat"|"Bu"|||||65||||"10313198"|"22479026"
"Alfalfa hay"|"Tons"|||||6.5||||"10313205"|"22479027"
"Barley"|"Bu"||40|||105||||"10313205"|"22479028"
"Corn silage"|"Tons"|||||30||||"10313205"|"22479029"
"Sugar beets"|"Tons"|||||25||||"10313205"|"22479030"
"Tomatoes"|"Tons"|||||27||||"10313205"|"22479031"
"Wheat"|"Bu"||30|||90||||"10313205"|"22479032"
"Canning peas"|"Tons"|||||3||||"10313205"|"22479033"
"Wheat"|"Bu"|||||50||||"10313216"|"22479034"
"Barley"|"Bu"|||||70||||"10313216"|"22479035"
"Alfalfa hay"|"Tons"|||||4||||"10313216"|"22479036"
"Canning peas"|"Tons"|||||2.7||||"10313223"|"22479037"
"Alfalfa hay"|"Tons"|||||5.5||||"10313223"|"22479038"
"Barley"|"Bu"|||||90||||"10313223"|"22479039"
"Corn silage"|"Tons"|||||22||||"10313223"|"22479040"
"Sugar beets"|"Tons"|||||22||||"10313223"|"22479041"
"Tomatoes"|"Tons"|||||25||||"10313223"|"22479042"
"Wheat"|"Bu"|||||80||||"10313223"|"22479043"
"Alfalfa hay"|"Tons"|||||5.5||||"10313229"|"22479044"
"Barley"|"Bu"|||||90||||"10313229"|"22479045"
"Corn silage"|"Tons"|||||22||||"10313229"|"22479046"
"Sugar beets"|"Tons"|||||22||||"10313229"|"22479047"
"Tomatoes"|"Tons"|||||25||||"10313229"|"22479048"
"Wheat"|"Bu"||14|||80||||"10313229"|"22479049"
"Canning peas"|"Bu"|||||2.7||||"10313229"|"22479050"
"Alfalfa hay"|"Tons"|||||5||||"10313231"|"22479051"
"Barley"|"Bu"|||||81||||"10313231"|"22479052"
"Wheat"|"Bu"||14|||70||||"10313231"|"22479053"
"Canning peas"|"Bu"|||||2.4||||"10313231"|"22479054"
"Canning peas"|"Tons"|||||2.7||||"10313235"|"22479055"
"Alfalfa hay"|"Tons"|||||5.5||||"10313235"|"22479056"
"Barley"|"Bu"|||||90||||"10313235"|"22479057"
"Corn silage"|"Tons"|||||22||||"10313235"|"22479058"
"Sugar beets"|"Tons"|||||22||||"10313235"|"22479059"
"Tomatoes"|"Tons"|||||24||||"10313235"|"22479060"
"Wheat"|"Bu"|||||80||||"10313235"|"22479061"
"Tomatoes"|"Tons"|||||27||||"10313242"|"22479062"
"Canning peas"|"Tons"|||||3||||"10313242"|"22479063"
"Alfalfa hay"|"Tons"|||||6.5||||"10313242"|"22479064"
"Barley"|"Bu"||40|||105||||"10313242"|"22479065"
"Corn silage"|"Tons"|||||30||||"10313242"|"22479066"
"Sugar beets"|"Tons"|||||25||||"10313242"|"22479067"
"Wheat"|"Bu"||30|||90||||"10313242"|"22479068"
"Alfalfa hay"|"Tons"|||||4.7||||"10313243"|"22479069"
"Barley"|"Bu"||30|||75||||"10313243"|"22479070"
"Wheat"|"Bu"||20|||64||||"10313243"|"22479071"
"Alfalfa hay"|"Tons"|||||5||||"10313247"|"22479072"
"Barley"|"Bu"||35|||75||||"10313247"|"22479073"
"Tomatoes"|"Tons"|||||20||||"10313247"|"22479074"
"Wheat"|"Bu"||28|||70||||"10313247"|"22479075"
"Canning peas"|"Tons"|||||2.5||||"10313250"|"22479076"
"Alfalfa hay"|"Tons"|||||5.5||||"10313250"|"22479077"
"Barley"|"Bu"||40|||89||||"10313250"|"22479078"
"Sugar beets"|"Tons"|||||20||||"10313250"|"22479079"
"Wheat"|"Bu"||30|||76||||"10313250"|"22479080"
"Barley"|"Bu"||25|||||||"10313255"|"22479081"
"Wheat"|"Bu"||16|||||||"10313255"|"22479082"
"Alfalfa hay"|"Tons"|||||3.8||||"10313263"|"22479083"
"Barley"|"Bu"|||||60||||"10313263"|"22479084"
"Tomatoes"|"Tons"|||||22||||"10313272"|"22479085"
"Canning peas"|"Tons"|||||3||||"10313272"|"22479086"
"Alfalfa hay"|"Tons"|||||6||||"10313272"|"22479087"
"Barley"|"Bu"|||||105||||"10313272"|"22479088"
"Corn silage"|"Tons"|||||23||||"10313272"|"22479089"
"Sugar beets"|"Tons"|||||23||||"10313272"|"22479090"
"Wheat"|"Bu"|||||90||||"10313272"|"22479091"
"Canning peas"|"Tons"|||||3||||"10313273"|"22479092"
"Tomatoes"|"Tons"|||||22||||"10313273"|"22479093"
"Alfalfa hay"|"Tons"|||||6||||"10313273"|"22479094"
"Barley"|"Bu"|||||105||||"10313273"|"22479095"
"Corn silage"|"Tons"|||||25||||"10313273"|"22479096"
"Sugar beets"|"Tons"|||||23||||"10313273"|"22479097"
"Wheat"|"Bu"|||||90||||"10313273"|"22479098"
"Alfalfa hay"|"Tons"|||||4.5||||"10313286"|"22479099"
"Barley"|"Bu"|||||65||||"10313286"|"22479100"
"Corn silage"|"Tons"|||||19||||"10313286"|"22479101"
"Pasture"|"AUM"|||||7.5||||"10313286"|"22479102"
"Sugar beets"|"Tons"|||||19||||"10313286"|"22479103"
"Spring wheat"|"Bu"|||||60||||"10313286"|"22479104"
"Winter wheat"|"Bu"||19|||||||"10313286"|"22479105"
"Alfalfa hay"|"Tons"|||||4||||"10312879"|"22478763"
"Barley"|"Bu"|||||70||||"10312879"|"22478764"
"Corn silage"|"Tons"|||||20||||"10312879"|"22478765"
"Pasture"|"AUM"|||||9||||"10312879"|"22478766"
"Sugar beets"|"Tons"|||||18||||"10312879"|"22478767"
"Spring wheat"|"Bu"|||||60||||"10312879"|"22478768"
